EXERCISE,WEIGHT,REPS,MUSCLE_GROUP
BICEP CURLS,0,0,UPPER BODY
DUMBBELL PUSHUP ROWS,0,0,UPPER BODY
LAT PULLDOWN,0,0,UPPER BODY
SEATED ROWS,0,0,UPPER BODY
HANGING LEG RAISE,0,0,CORE
MINUTE PLANKS,0,0,CORE
LEG EXTENSIONS,0,0,LOWER BODY
LEG CURLS,0,0,LOWER BODY
BENCH PRESS,0,0,UPPER BODY
LEG PRESS,0,0,LOWER BODY
